item,product type,set,cost,sold,show,purchased date,sold date
piplup,card,first partner,6.67,23,guildford card show,2026-03-20 12:00:00,2026-06-20 11:19:00
feraligatr ex box,sealed,ascended heroes,50.0,70,guildford card show,2026-04-01 12:00:00,2026-06-20 11:26:00
nintails,card,obsidian flames,30.0,60,guildford card show,2026-04-01 12:00:00,2026-06-20 12:32:00
ducklett jp,card,black white,5.0,17,guildford card show,2026-04-01 12:00:00,2026-06-20 12:40:00
golurk jp,card,black white,3.0,7,guildford card show,2026-04-01 12:00:00,2026-06-20 12:40:00
zerora vmax,card,crown zenith,5.0,18,guildford card show,2026-04-01 12:00:00,2026-06-20 12:55:00
carmine,card,twilight,70.0,70,guildford card show,2026-04-01 12:00:00,2026-06-20 13:13:00
eevee,card,promo,7.0,25,guildford card show,2026-04-01 12:00:00,2026-06-20 13:16:00
ribombee,card,journey,3.0,8,guildford card show,2026-04-01 12:00:00,2026-06-20 13:16:00
simisear vmax,card,crown zenith,15.0,45,guildford card show,2026-04-01 12:00:00,2026-06-20 13:18:00
greninja ex,card,chaos rising,3.5,5,guildford card show,2026-04-01 12:00:00,2026-06-20 13:22:00
mespirt,card,surging sparks,12.0,25,guildford card show,2026-04-01 12:00:00,2026-06-20 13:27:00
latias,card,crown zenith,5.0,15,guildford card show,2026-04-01 12:00:00,2026-06-20 13:27:00
latios,card,surging sparks,38.5,55,guildford card show,2026-04-01 12:00:00,2026-06-20 13:27:00
mega lucario ex,card,promo,14.0,20,guildford card show,2026-04-01 12:00:00,2026-06-20 13:42:00
chaos rising bundle,sealed,chaos rising,50.0,60,guildford card show,2026-04-01 12:00:00,2026-06-20 13:43:00
lucario vstar,card,crown zenith,17.5,25,guildford card show,2026-04-01 12:00:00,2026-06-20 13:54:00
chaos rising etb,sealed,chaos rising,95.0,120,guildford card show,2026-04-01 12:00:00,2026-06-20 13:59:00
gengar tin,sealed,chaos rising,52.0,52,guildford card show,2026-04-01 12:00:00,2026-06-20 14:10:00
articuno,card,crown zenith,7.0,10,guildford card show,2026-04-01 12:00:00,2026-06-20 14:26:00
dewgong,card,phantasmal,3.0,8,guildford card show,2026-04-01 12:00:00,2026-06-20 14:33:00
macargo,card,mega dream,2.8,4,guildford card show,2026-04-01 12:00:00,2026-06-20 14:33:00
eevee,card,crimson,28.0,45,guildford card show,2026-04-01 12:00:00,2026-06-20 14:34:00
snorlax,card,promo,17.5,25,guildford card show,2026-04-01 12:00:00,2026-06-20 15:29:00
furret,card,journey,7.0,10,guildford card show,2026-04-01 12:00:00,2026-06-20 15:46:00
swablu jp,card,future flash,8.0,20,guildford card show,2026-04-01 12:00:00,2026-06-20 16:55:00
dark gengar,card,neo genesis,225.0,380,guildford card show,2026-04-01 12:00:00,2026-06-20 17:31:00
moltres,card,crown zenith,14.0,20,guildford card show,2026-04-01 12:00:00,2026-06-20 17:31:00
frogadier,card,chaos rising,9.0,20,guildford card show,2026-04-01 12:00:00,2026-06-20 17:31:00
squirtle,card,151,55.0,110,guildford card show,2026-04-01 12:00:00,2026-06-20 17:31:00
cubone,card,gem pack,100.0,400,outside,2026-04-01 12:00:00,2026-06-23 12:00:00
solosis,card,black white,31.499999999999996,45,outside,2026-04-01 12:00:00,2026-06-23 12:00:00
lapris,card,destined,15.0,40,outside,2026-04-01 12:00:00,2026-06-23 12:00:00
deoxys psa 10,graded card,crown zenith,50.0,320,outside,2026-04-01 12:00:00,2026-06-25 12:00:00
mewtwo psa 9,graded card,crown zenith,35.0,320,outside,2026-04-01 12:00:00,2026-06-25 12:00:00
zacian psa 10,graded card,crown zenith,65.0,145,outside,2026-04-01 12:00:00,2026-06-25 12:00:00
ivysaur,card,151,40.0,63,ubc,2026-04-01 12:00:00,2026-07-04 11:53:00
eevee,card,promo,15.0,20,outside,2026-04-01 12:00:00,2026-07-04 12:00:00
spewpa,card,phantasmal,3.5,5,outside,2026-04-01 12:00:00,2026-07-04 12:00:00
giratina vstar,card,crown zenith,90.0,500,outside,2026-04-01 12:00:00,2026-07-04 12:00:00
pikachu,card,151,87.5,125,guildford card show,2026-04-01 12:00:00,2026-06-20 12:22:00
yamper,card,phantasmal,3.5,5,guildford card show,2026-04-01 12:00:00,2026-06-20 12:28:00
zoroark jp,card,black white,20.0,35,guildford card show,2026-04-01 12:00:00,2026-06-20 12:28:00
pikachu,card,promo,21.0,30,guildford card show,2026-04-01 12:00:00,2026-06-20 12:38:00
blaziken,card,destined,10.5,15,guildford card show,2026-04-01 12:00:00,2026-06-20 13:12:00
electrivre,card,crown zenith,10.5,15,guildford card show,2026-04-01 12:00:00,2026-06-20 13:35:00
vulpix,card,hidden fates,10.5,15,guildford card show,2026-04-01 12:00:00,2026-06-20 13:35:00
rowlet,card,hidden fates,7.0,10,guildford card show,2026-04-01 12:00:00,2026-06-20 14:23:00
