item,product type,set,cost,sold,show,show time,purchased date,sold date,notes
piplup,card,first partner,6.67,23,guildford card show,11:19,2026-03-20,2026-06-20,
feraligatr ex box,sealed,ascended heroes,50,70,guildford card show,11:26,,2026-06-20,
nintails,card,obsidian flames,30,60,guildford card show,12:32,,2026-06-20,
ducklett jp,card,black white,5,17,guildford card show,12:40,,2026-06-20,
golurk jp,card,black white,3,7,guildford card show,12:40,,2026-06-20,
zerora vmax,card,crown zenith,5,18,guildford card show,12:55,,2026-06-20,
carmine,card,twilight,70,70,guildford card show,13:13,,2026-06-20,
eevee,card,promo,7,25,guildford card show,13:16,,2026-06-20,
ribombee,card,journey,3,8,guildford card show,13:16,,2026-06-20,
simisear vmax,card,crown zenith,15,45,guildford card show,13:18,,2026-06-20,
greninja ex,card,chaos rising,0,5,guildford card show,13:22,,2026-06-20,
mespirt,card,surging sparks,12,25,guildford card show,13:27,,2026-06-20,
latias,card,crown zenith,5,15,guildford card show,13:27,,2026-06-20,
latios,card,surging sparks,0,55,guildford card show,13:27,,2026-06-20,
mega lucario ex,card,promo,0,20,guildford card show,13:42,,2026-06-20,
chaos rising bundle,sealed,chaos rising,50,60,guildford card show,13:43,,2026-06-20,
lucario vstar,card,crown zenith,0,25,guildford card show,13:54,,2026-06-20,
chaos rising etb,sealed,chaos rising,95,120,guildford card show,13:59,,2026-06-20,
gengar tin,sealed,chaos rising,52,52,guildford card show,14:10,,2026-06-20,
articuno,card,crown zenith,0,10,guildford card show,14:26,,2026-06-20,
dewgong,card,phantasmal,3,8,guildford card show,14:33,,2026-06-20,
macargo,card,mega dream,0,4,guildford card show,14:33,,2026-06-20,
eevee,card,crimson,28,45,guildford card show,14:34,,2026-06-20,
snorlax,card,promo,0,25,guildford card show,15:29,,2026-06-20,
furret,card,journey,0,10,guildford card show,15:46,,2026-06-20,
swablu jp,card,future flash,8,20,guildford card show,16:55,,2026-06-20,
dark gengar,card,neo genesis,225,380,guildford card show,17:31,,2026-06-20,
moltres,card,crown zenith,0,20,guildford card show,17:31,,2026-06-20,
frogadier,card,chaos rising,9,20,guildford card show,17:31,,2026-06-20,
squirtle,card,151,55,110,guildford card show,17:31,,2026-06-20,
cubone,card,gem pack,100,400,outside,,,2026-06-23,
solosis,card,black white,0,45,outside,,,2026-06-23,
lapris,card,destined,15,40,outside,,,2026-06-23,
deoxys psa 10,graded card,crown zenith,50,320,outside,,,2026-06-25,
mewtwo psa 9,graded card,crown zenith,35,320,outside,,,2026-06-25,
zacian psa 10,graded card,crown zenith,65,145,outside,,,2026-06-25,
ivysaur,card,151,40,63,ubc,11:53,,2026-07-04,
eevee,card,promo,15,20,outside,,,2026-07-04,
spewpa,card,phantasmal,0,5,outside,,,2026-07-04,
giratina vstar,card,crown zenith,90,500,outside,,,2026-07-04,
pikachu,card,151,0,125,guildford card show,12:22,,2026-06-20,
yamper,card,phantasmal,0,5,guildford card show,12:28,,2026-06-20,
zoroark jp,card,black white,20,35,guildford card show,12:28,,2026-06-20,
pikachu,card,promo,0,30,guildford card show,12:38,,2026-06-20,
blaziken,card,destined,0,15,guildford card show,13:12,,2026-06-20,
electrivre,card,crown zenith,0,15,guildford card show,13:35,,2026-06-20,
vulpix,card,hidden fates,0,15,guildford card show,13:35,,2026-06-20,
rowlet,card,hidden fates,0,10,guildford card show,14:23,,2026-06-20,
pikachu,card,crown zenith,0,80,guildford card show,14:26,,2026-06-20,
regidrago,graded card,silver tempest,0,175,vault card show,11:57,,2026-06-28,
mega charizard,card,promo,0,65,vault card show,12:01,,2026-06-28,
clamprel jp,card,destined,0,5,vault card show,12:21,,2026-06-28,
dark sylveon box,sealed,celebrations,0,375,vault card show,13:01,,2026-06-28,
sunflora,card,twilight,0,20,vault card show,13:26,,2026-06-28,
articuno,card,crown zenith,0,10,vault card show,13:28,,2026-06-28,
charmander,card,promo,0,75,vault card show,13:44,,2026-06-28,
az's tranquility,card,chaos rising,0,55,vault card show,14:33,,2026-06-28,
mega greninja,card,chaos rising,0,25,vault card show,14:33,,2026-06-28,
skwovet,card,paldean fates,0,5,vault card show,14:34,,2026-06-28,
samurott,graded card,black white,0,65,vault card show,15:06,,2026-06-28,
deerling,card,black white,0,35,vault card show,15:06,,2026-06-28,
crobat,card,chaos rising,0,5,vault card show,15:06,,2026-06-28,
khang,card,black white,25,35,vault card show,15:06,,2026-06-28,
leafeon,graded card,hidden fates,0,300,vault card show,16:15,,2026-06-28,
groudon jp,graded card,paradox rift,0,150,vault card show,16:17,,2026-06-28,
farigiraf,card,paldea evolved,0,20,vault card show,16:34,,2026-06-28,
rotom,card,champions path,0,12,vault card show,16:34,,2026-06-28,
meditite,card,steller crown,0,14,vault card show,17:05,,2026-06-28,
