item,product type,set,cost,sold,show,purchased date,sold date
gardevoir,card,silver tempest,7.699999999999999,11,the layover show,2026-04-01 12:00:00,2026-07-05 11:25:00
glaceon,card,,2.8,4,the layover show,2026-04-01 12:00:00,2026-07-05 11:49:00
slurpuff,card,ascended heroes,9.1,13,the layover show,2026-04-01 12:00:00,2026-07-05 12:00:00
falinks,card,champions path,2.1,3,the layover show,2026-04-01 12:00:00,2026-07-05 12:15:00
moltres,card,promo,21.0,30,the layover show,2026-04-01 12:00:00,2026-07-05 12:15:00
comfey,card,crown zenith,3.5,5,the layover show,2026-04-01 12:00:00,2026-07-05 12:22:00
thievul,card,crown zenith,4.9,7,the layover show,2026-04-01 12:00:00,2026-07-05 12:22:00
charmander,card,first partner,37.1,53,the layover show,2026-04-01 12:00:00,2026-07-05 12:22:00
squirtle,card,first partner,28.7,41,the layover show,2026-04-01 12:00:00,2026-07-05 12:22:00
fezandipiti,card,shrouded fable,15.4,22,the layover show,2026-04-01 12:00:00,2026-07-05 12:27:00
snorlax jp,card,151,15.4,22,the layover show,2026-04-01 12:00:00,2026-07-05 13:01:00
mega gardevoir,card,promo,14.0,20,the layover show,2026-04-01 12:00:00,2026-07-05 13:01:00
clive,card,paldean fates,24.5,35,the layover show,2026-04-01 12:00:00,2026-07-05 13:06:00
tatsugiri,card,twilight,18.9,27,the layover show,2026-04-01 12:00:00,2026-07-05 13:06:00
forest of vitality,card,perfect order,7.0,10,the layover show,2026-04-01 12:00:00,2026-07-05 13:09:00
fidough,card,scarlet violet,28.0,40,the layover show,2026-04-01 12:00:00,2026-07-05 13:25:00
mimikyu jp,card,brilliant stars,38.5,55,the layover show,2026-04-01 12:00:00,2026-07-05 13:54:00
mega rayquaza,card,celebrations,400.0,410,the layover show,2026-04-01 12:00:00,2026-07-05 14:02:00
nidoking jp,card,151,9.1,13,the layover show,2026-04-01 12:00:00,2026-07-05 15:21:00
vikavolt,card,ascended heroes,3.5,5,the layover show,2026-04-01 12:00:00,2026-07-05 15:21:00
cleffa,card,obsidian flames,42.0,60,the layover show,2026-04-01 12:00:00,2026-07-05 15:21:00
articuno,card,journey,19.6,28,the layover show,2026-04-01 12:00:00,2026-07-05 15:21:00
ivysaur,card,mega,15.4,22,the layover show,2026-04-01 12:00:00,2026-07-05 15:21:00
arceus,card,brilliant stars,16.799999999999997,24,the layover show,2026-04-01 12:00:00,2026-07-05 15:21:00
rookidee,card,paldea evolved,11.2,16,the layover show,2026-04-01 12:00:00,2026-07-05 15:21:00
nidoking,card,,7.0,10,the layover show,2026-04-01 12:00:00,2026-07-05 15:21:00
tropius jp,card,triple beat,4.9,7,the layover show,2026-04-01 12:00:00,2026-07-05 15:21:00
charizard,card,151,420.0,600,the layover show,2026-04-01 12:00:00,2026-07-05 14:02:00
pikachu,card,promo,217.0,310,the layover show,2026-04-01 12:00:00,2026-07-05 14:02:00
growlithe ,card,crimson,10.5,15,the layover show,2026-04-01 12:00:00,2026-07-05 13:06:00
rueniclus,card,promo,4.199999999999999,6,the layover show,2026-04-01 12:00:00,2026-07-05 13:06:00
