item,product type,set,cost,sold,show,purchased date,sold date
regidrago,graded card,silver tempest,122.5,175,vault card show,2026-04-01 12:00:00,2026-06-28 11:57:00
mega charizard,card,promo,45.5,65,vault card show,2026-04-01 12:00:00,2026-06-28 12:01:00
clamprel jp,card,destined,3.5,5,vault card show,2026-04-01 12:00:00,2026-06-28 12:21:00
dark sylveon box,sealed,celebrations,262.5,375,vault card show,2026-04-01 12:00:00,2026-06-28 13:01:00
sunflora,card,twilight,14.0,20,vault card show,2026-04-01 12:00:00,2026-06-28 13:26:00
articuno,card,crown zenith,7.0,10,vault card show,2026-04-01 12:00:00,2026-06-28 13:28:00
charmander,card,promo,52.5,75,vault card show,2026-04-01 12:00:00,2026-06-28 13:44:00
az's tranquility,card,chaos rising,38.5,55,vault card show,2026-04-01 12:00:00,2026-06-28 14:33:00
mega greninja,card,chaos rising,17.5,25,vault card show,2026-04-01 12:00:00,2026-06-28 14:33:00
skwovet,card,paldean fates,3.5,5,vault card show,2026-04-01 12:00:00,2026-06-28 14:34:00
samurott,graded card,black white,45.5,65,vault card show,2026-04-01 12:00:00,2026-06-28 15:06:00
deerling,card,black white,24.5,35,vault card show,2026-04-01 12:00:00,2026-06-28 15:06:00
crobat,card,chaos rising,3.5,5,vault card show,2026-04-01 12:00:00,2026-06-28 15:06:00
khang,card,black white,25.0,35,vault card show,2026-04-01 12:00:00,2026-06-28 15:06:00
leafeon,graded card,hidden fates,210.0,300,vault card show,2026-04-01 12:00:00,2026-06-28 16:15:00
groudon jp,graded card,paradox rift,105.0,150,vault card show,2026-04-01 12:00:00,2026-06-28 16:17:00
farigiraf,card,paldea evolved,14.0,20,vault card show,2026-04-01 12:00:00,2026-06-28 16:34:00
rotom,card,champions path,8.399999999999999,12,vault card show,2026-04-01 12:00:00,2026-06-28 16:34:00
meditite,card,steller crown,9.8,14,vault card show,2026-04-01 12:00:00,2026-06-28 17:05:00
